"osm_id","ort","plz","bundesland","PLZ_Int"
1272230,"Bad Bentheim","48455","Niedersachsen",48455
1817279,"Badbergen","49635","Niedersachsen",49635
1252824,"Bad Bergzabern","76887","Rheinland-Pfalz",76887
2856985,"Bad Berka","99438","Thüringen",99438
1891507,"Bad Berleburg","57319","Nordrhein-Westfalen",57319
1070989,"Bad Berneck im Fichtelgebirge","95460","Bayern",95460
1269808,"Bad Bertrich","56864","Rheinland-Pfalz",56864
1460241,"Bad Bevensen","29549","Niedersachsen",29549
2402429,"Bad Bibra","06647","Sachsen-Anhalt",6647
957047,"Bad Birnbach","84364","Bayern",84364
1273350,"Bad Blankenburg","07422","Thüringen",7422
383699,"Bad Bocklet","97708","Bayern",97708
1250039,"Bad Bodenteich","29389","Niedersachsen",29389
2792631,"Bad Boll","73087","Baden-Württemberg",73087
443526,"Bad Brambach","08648","Sachsen",8648
423223,"Bad Bramstedt","24576","Schleswig-Holstein",24576
1022829,"Bad Breisig","53498","Rheinland-Pfalz",53498
384270,"Bad Brückenau","97769","Bayern",97769
2801316,"Bad Buchau","88422","Baden-Württemberg",88422
324314,"Bad Camberg","65520","Hessen",65520
1270319,"Bad Colberg-Heldburg","98663","Thüringen",98663
1432674,"Baddeckenstedt","38271","Niedersachsen",38271
